time_iso8601,clones_total,clones_unique,views_total,views_unique
2026-04-05 00:00:00+00:00,20,5,0,0
2026-04-06 00:00:00+00:00,2,2,0,0
2026-04-07 00:00:00+00:00,13,4,0,0
2026-04-08 00:00:00+00:00,25,11,0,0
2026-04-09 00:00:00+00:00,21,7,0,0
2026-04-10 00:00:00+00:00,16,7,0,0
2026-04-11 00:00:00+00:00,29,11,0,0
2026-04-12 00:00:00+00:00,8,3,0,0
2026-04-13 00:00:00+00:00,20,6,0,0
2026-04-14 00:00:00+00:00,35,9,0,0
2026-04-15 00:00:00+00:00,13,4,0,0
2026-04-16 00:00:00+00:00,22,7,0,0
2026-04-17 00:00:00+00:00,10,5,0,0
2026-04-18 00:00:00+00:00,17,6,0,0
