time_iso8601,clones_total,clones_unique,views_total,views_unique
2026-04-11 00:00:00+00:00,29,11,0,0
2026-04-12 00:00:00+00:00,8,3,0,0
2026-04-13 00:00:00+00:00,20,6,0,0
2026-04-14 00:00:00+00:00,35,9,0,0
2026-04-15 00:00:00+00:00,13,4,0,0
2026-04-16 00:00:00+00:00,22,7,0,0
2026-04-17 00:00:00+00:00,10,5,0,0
2026-04-18 00:00:00+00:00,17,6,0,0
2026-04-19 00:00:00+00:00,36,13,0,0
2026-04-20 00:00:00+00:00,50,20,0,0
2026-04-21 00:00:00+00:00,68,26,0,0
2026-04-22 00:00:00+00:00,69,24,0,0
2026-04-23 00:00:00+00:00,100,28,0,0
2026-04-24 00:00:00+00:00,100,32,0,0
